日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,0.805,0.788,0.815,0.78,1431569,114146236.8,4.34,-2.23,-0.018,1.55
2025-01-03,0.789,0.759,0.793,0.757,1114753,86300080.513,4.57,-3.68,-0.029,1.21
2025-01-06,0.758,0.755,0.763,0.746,790396,59643950.8,2.24,-0.53,-0.004,0.85
2025-01-07,0.759,0.775,0.775,0.754,792073,60486851.0,2.78,2.65,0.02,0.86
2025-01-08,0.771,0.785,0.795,0.748,1916996,148661372.3,6.06,1.29,0.01,2.07
2025-01-09,0.779,0.794,0.798,0.777,1360891,107528558.31,2.68,1.15,0.009,1.47
2025-01-10,0.788,0.788,0.815,0.786,1473399,117876469.976,3.65,-0.76,-0.006,1.59
2025-01-13,0.776,0.792,0.808,0.772,1412792,111976587.476,4.57,0.51,0.004,1.53
2025-01-14,0.789,0.846,0.846,0.787,3190991,262863354.783,7.45,6.82,0.054,3.45
2025-01-15,0.845,0.837,0.845,0.831,2137966,179064197.096,1.65,-1.06,-0.009,2.31
2025-01-16,0.838,0.838,0.858,0.827,2162522,182241097.808,3.7,0.12,0.001,2.34
2025-01-17,0.832,0.838,0.845,0.83,1513981,127078715.362,1.79,0.0,0.0,1.64
2025-01-20,0.847,0.838,0.847,0.833,1534482,128848909.041,1.67,0.0,0.0,1.66
2025-01-21,0.841,0.86,0.86,0.838,2362748,200858024.4,2.63,2.63,0.022,2.56
2025-01-22,0.854,0.848,0.854,0.844,1905701,161731848.375,1.16,-1.4,-0.012,2.06
2025-01-23,0.855,0.85,0.875,0.848,2829449,242797120.639,3.18,0.24,0.002,3.06
2025-01-24,0.846,0.872,0.872,0.844,2296435,197494925.3,3.29,2.59,0.022,2.48
2025-01-27,0.875,0.846,0.875,0.845,1749462,149437162.2,3.44,-2.98,-0.026,1.89
2025-02-05,0.863,0.882,0.888,0.858,2828721,247484309.6,3.55,4.26,0.036,3.06
2025-02-06,0.877,0.933,0.937,0.872,3077970,282406984.571,7.37,5.78,0.051,3.33
2025-02-07,0.932,0.935,0.945,0.913,4689909,437309800.7,3.43,0.21,0.002,5.07
2025-02-10,0.932,0.937,0.938,0.916,3104175,288288044.404,2.35,0.21,0.002,3.36
2025-02-11,0.935,0.938,0.947,0.925,2513470,235496950.618,2.35,0.11,0.001,2.72
2025-02-12,0.936,0.949,0.956,0.932,2714712,256580194.881,2.56,1.17,0.011,2.94
2025-02-13,0.947,0.922,0.952,0.922,2705824,252525832.1,3.16,-2.85,-0.027,2.93
2025-02-14,0.916,0.927,0.933,0.91,2759341,254613361.72,2.49,0.54,0.005,2.98
2025-02-17,0.927,0.952,0.952,0.926,3013133,283309579.225,2.8,2.7,0.025,3.26
2025-02-18,0.956,0.931,0.956,0.926,3054265,287946418.4,3.15,-2.21,-0.021,3.3
2025-02-19,0.927,0.992,0.994,0.927,7622131,744297014.4,7.2,6.55,0.061,8.24
2025-02-20,0.998,1.007,1.016,0.983,5979205,597771815.832,3.33,1.51,0.015,6.47
2025-02-21,1.005,1.048,1.049,1.003,5202239,535204422.77,4.57,4.07,0.041,5.63
2025-02-24,1.05,1.043,1.063,1.019,6211015,645907685.122,4.2,-0.48,-0.005,6.72
2025-02-25,1.02,1.05,1.066,1.011,6133262,641073311.45,5.27,0.67,0.007,6.63
2025-02-26,1.049,1.063,1.089,1.044,9054003,966661248.0,4.29,1.24,0.013,9.79
2025-02-27,1.057,1.055,1.069,1.028,5718958,600259176.708,3.86,-0.75,-0.008,6.18
2025-02-28,1.04,0.976,1.043,0.973,8229300,823583801.362,6.64,-7.49,-0.079,8.9
2025-03-03,0.973,0.967,0.993,0.958,4167905,406005509.037,3.59,-0.92,-0.009,4.51
2025-03-04,0.958,0.988,0.995,0.955,4428394,435785469.49,4.14,2.17,0.021,4.79
2025-03-05,0.989,1.004,1.005,0.984,4172997,416263816.37,2.13,1.62,0.016,4.51
2025-03-06,1.014,1.03,1.038,1.008,4562842,468328688.5,2.99,2.59,0.026,4.93
2025-03-07,1.03,1.029,1.044,1.019,4403219,454569943.231,2.43,-0.1,-0.001,4.76
2025-03-10,1.034,1.039,1.049,1.025,3624615,375859683.74,2.33,0.97,0.01,3.92
2025-03-11,1.017,1.031,1.04,1.002,3690407,377521300.2,3.66,-0.77,-0.008,3.99
2025-03-12,1.037,1.022,1.039,1.021,2564675,263897979.4,1.75,-0.87,-0.009,2.77
